,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,27232.0,-1421280.0,-143480.0,0.0,
Tax Rate For Calcs,0.148,0.21,0.004,0.024,
Normalized EBITDA,711807000.0,4538000.0,-635728000.0,-602415000.0,
Total Unusual Items,184000.0,-6768000.0,-35870000.0,0.0,
Total Unusual Items Excluding Goodwill,184000.0,-6768000.0,-35870000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,52186000.0,-517757000.0,-985345000.0,-707417000.0,
Reconciled Depreciation,225076000.0,169044000.0,134634000.0,52722000.0,
Reconciled Cost Of Revenue,1047572000.0,845106000.0,873161000.0,576457000.0,
EBITDA,711991000.0,-2230000.0,-671598000.0,-602415000.0,
EBIT,486915000.0,-171274000.0,-806232000.0,-655137000.0,
Net Interest Income,-425451000.0,-344253000.0,-183013000.0,-69694000.0,
Interest Expense,425451000.0,344253000.0,183013000.0,69694000.0,
Normalized Income,52029232.0,-512410280.0,-949618480.0,-707417000.0,
Net Income From Continuing And Discontinued Operation,52186000.0,-517757000.0,-985345000.0,-707417000.0,
Total Expenses,2886419000.0,2587825000.0,2569964000.0,2145646000.0,
Total Operating Income As Reported,-87273000.0,-615847000.0,-1200862000.0,-866048000.0,
Diluted Average Shares,341023566.0,309857129.0,295343466.0,281704041.0,
Basic Average Shares,322851873.0,309857129.0,295343466.0,281704041.0,
Diluted EPS,0.15,-1.67,-3.34,-2.51,
Basic EPS,0.16,-1.67,-3.34,-2.51,
Diluted NI Availto Com Stockholders,52186000.0,-517757000.0,-985345000.0,-707417000.0,
Net Income Common Stockholders,52186000.0,-517757000.0,-985345000.0,-707417000.0,
Otherunder Preferred Stock Dividend,,,,0.0,0.0
Net Income,52186000.0,-517757000.0,-985345000.0,-707417000.0,
Net Income Including Noncontrolling Interests,52186000.0,-517757000.0,-985345000.0,-707417000.0,
Net Income Continuous Operations,52186000.0,-517757000.0,-985345000.0,-707417000.0,
Tax Provision,9279000.0,2230000.0,-3900000.0,-17414000.0,
Pretax Income,61464000.0,-515527000.0,-989245000.0,-724831000.0,
Other Income Expense,148921000.0,93552000.0,175747000.0,141217000.0,
Other Non Operating Income Expenses,148737000.0,100320000.0,211617000.0,141217000.0,
Special Income Charges,184000.0,-6768000.0,-35870000.0,0.0,
Restructuring And Mergern Acquisition,-184000.0,6768000.0,35870000.0,0.0,
Net Non Operating Interest Income Expense,-425451000.0,-344253000.0,-183013000.0,-69694000.0,
Total Other Finance Cost,,,,69694000.0,52700000.0
Interest Expense Non Operating,425451000.0,344253000.0,183013000.0,69694000.0,
Operating Income,337993000.0,-264826000.0,-981979000.0,-796354000.0,
Operating Expense,1838847000.0,1742719000.0,1696803000.0,1569189000.0,
Other Operating Expenses,242264000.0,180395000.0,140265000.0,204081000.0,
Provision For Doubtful Accounts,616683000.0,460628000.0,331860000.0,255272000.0,
Selling General And Administration,979900000.0,1101696000.0,1224678000.0,1109836000.0,
Selling And Marketing Expense,434847000.0,576405000.0,638280000.0,532343000.0,
General And Administrative Expense,545053000.0,525291000.0,586398000.0,577493000.0,
Other Gand A,545053000.0,525291000.0,586398000.0,577493000.0,
Gross Profit,2176840000.0,1477893000.0,714824000.0,772835000.0,
Cost Of Revenue,1047572000.0,845106000.0,873161000.0,576457000.0,
Total Revenue,3224412000.0,2322999000.0,1587985000.0,1349292000.0,
Operating Revenue,3224412000.0,2322999000.0,1587985000.0,1349292000.0,
