,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.199608,0.21,0.21,0.21,0.21
Normalized EBITDA,28470000.0,11713000.0,-32136000.0,-23198000.0,11901000.0
Net Income From Continuing Operation Net Minority Interest,15530000.0,-2007000.0,-47048000.0,-37626000.0,15826000.0
Reconciled Depreciation,9279000.0,9562000.0,9511000.0,9060000.0,6112000.0
Reconciled Cost Of Revenue,187412000.0,179177000.0,171428000.0,158041000.0,149015000.0
EBITDA,28470000.0,11713000.0,-32136000.0,-23198000.0,11901000.0
EBIT,19191000.0,2151000.0,-41647000.0,-32258000.0,5789000.0
Net Interest Income,20550000.0,20359000.0,22164000.0,22392000.0,22812000.0
Interest Expense,-212000.0,801000.0,1473000.0,1066000.0,1635000.0
Interest Income,20338000.0,21160000.0,23637000.0,23458000.0,24447000.0
Normalized Income,15530000.0,-2007000.0,-47048000.0,-37626000.0,15826000.0
Net Income From Continuing And Discontinued Operation,15530000.0,-2007000.0,-47048000.0,-37626000.0,15826000.0
Total Expenses,694768000.0,646733000.0,656696000.0,602568000.0,566960000.0
Total Operating Income As Reported,304000.0,-18424000.0,-65294000.0,-53554000.0,-18562000.0
Diluted Average Shares,86457703.0,81401853.0,81078234.0,81060822.0,84594079.0
Basic Average Shares,81281748.0,81401853.0,81078234.0,81060822.0,77631824.0
Diluted EPS,0.18,-0.02,-0.58,-0.46,0.19
Basic EPS,0.19,-0.02,-0.58,-0.46,0.2
Diluted NI Availto Com Stockholders,15530000.0,-2007000.0,-47048000.0,-37626000.0,15826000.0
Net Income Common Stockholders,15530000.0,-2007000.0,-47048000.0,-37626000.0,15826000.0
Net Income,15530000.0,-2007000.0,-47048000.0,-37626000.0,15826000.0
Net Income Including Noncontrolling Interests,15530000.0,-2007000.0,-47048000.0,-37626000.0,15826000.0
Net Income Continuous Operations,15530000.0,-2007000.0,-47048000.0,-37626000.0,15826000.0
Tax Provision,3873000.0,3357000.0,3928000.0,4302000.0,-11672000.0
Pretax Income,19403000.0,1350000.0,-43120000.0,-33324000.0,4154000.0
Other Income Expense,-1451000.0,-585000.0,10000.0,-2162000.0,-96000.0
Other Non Operating Income Expenses,-1451000.0,-585000.0,10000.0,-2162000.0,-96000.0
Net Non Operating Interest Income Expense,20550000.0,20359000.0,22164000.0,22392000.0,22812000.0
Interest Expense Non Operating,-212000.0,801000.0,1473000.0,1066000.0,1635000.0
Interest Income Non Operating,20338000.0,21160000.0,23637000.0,23458000.0,24447000.0
Operating Income,304000.0,-18424000.0,-65294000.0,-53554000.0,-18562000.0
Operating Expense,507356000.0,467556000.0,485268000.0,444527000.0,417945000.0
Research And Development,189125000.0,176610000.0,181739000.0,168829000.0,150400000.0
Selling General And Administration,318231000.0,290946000.0,303529000.0,275698000.0,267545000.0
Selling And Marketing Expense,248537000.0,230864000.0,244065000.0,220923000.0,212211000.0
General And Administrative Expense,69694000.0,60082000.0,59464000.0,54775000.0,55334000.0
Other Gand A,69694000.0,60082000.0,59464000.0,54775000.0,55334000.0
Gross Profit,507660000.0,449132000.0,419974000.0,390973000.0,399383000.0
Cost Of Revenue,187412000.0,179177000.0,171428000.0,158041000.0,149015000.0
Total Revenue,695072000.0,628309000.0,591402000.0,549014000.0,548398000.0
Operating Revenue,695072000.0,628309000.0,591402000.0,549014000.0,548398000.0
