,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,475923000.0,484728936.0,489898494.0,491569276.0,496101000.0
Share Issued,475923000.0,484728936.0,489898494.0,491569276.0,496101000.0
Total Debt,436330000.0,375977000.0,343549000.0,334968000.0,312215000.0
Tangible Book Value,2464462000.0,2600786000.0,2695833000.0,2716684000.0,2934524000.0
Invested Capital,2484391000.0,2600786000.0,2695833000.0,2716684000.0,2949145000.0
Working Capital,1995007000.0,2125515000.0,2104731000.0,2174273000.0,2462993000.0
Net Tangible Assets,2464462000.0,2600786000.0,2695833000.0,2716684000.0,2934524000.0
Capital Lease Obligations,436330000.0,375977000.0,343549000.0,334968000.0,312215000.0
Common Stock Equity,2484391000.0,2600786000.0,2695833000.0,2716684000.0,2949145000.0
Total Capitalization,2484391000.0,2600786000.0,2695833000.0,2716684000.0,2949145000.0
Total Equity Gross Minority Interest,2484391000.0,2600786000.0,2695833000.0,2716684000.0,2949145000.0
Stockholders Equity,2484391000.0,2600786000.0,2695833000.0,2716684000.0,2949145000.0
Retained Earnings,-590912000.0,-364445000.0,-162356000.0,4518000.0,354249000.0
Additional Paid In Capital,3075303000.0,2965231000.0,2858189000.0,2712166000.0,2594896000.0
Capital Stock,0.0,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,3668829000.0,3339615000.0,3261976000.0,2988757000.0,3162806000.0
Total Non Current Liabilities Net Minority Interest,402832000.0,344844000.0,312992000.0,306695000.0,289341000.0
Other Non Current Liabilities,42857000.0,41996000.0,41857000.0,44028000.0,41618000.0
Long Term Debt And Capital Lease Obligation,359975000.0,302848000.0,271135000.0,262667000.0,247723000.0
Long Term Capital Lease Obligation,359975000.0,302848000.0,271135000.0,262667000.0,247723000.0
Current Liabilities,3265997000.0,2994771000.0,2948984000.0,2682062000.0,2873465000.0
Current Debt And Capital Lease Obligation,76355000.0,73129000.0,72414000.0,72301000.0,64492000.0
Current Capital Lease Obligation,76355000.0,73129000.0,72414000.0,72301000.0,64492000.0
Payables And Accrued Expenses,3189642000.0,2921642000.0,2876570000.0,2609761000.0,2808973000.0
Current Accrued Expenses,181991000.0,160381000.0,152477000.0,210813000.0,177760000.0
Payables,3007651000.0,2761261000.0,2724093000.0,2398948000.0,2631213000.0
Accounts Payable,3007651000.0,2761261000.0,2724093000.0,2398948000.0,2631213000.0
Total Assets,6153220000.0,5940401000.0,5957809000.0,5705441000.0,6111951000.0
Total Non Current Assets,892216000.0,820115000.0,904094000.0,849106000.0,775493000.0
Other Non Current Assets,77726000.0,99990000.0,95862000.0,90100000.0,57565000.0
Non Current Deferred Assets,55700000.0,110514000.0,228948000.0,228948000.0,230214000.0
Non Current Deferred Taxes Assets,55700000.0,110514000.0,228948000.0,228948000.0,230214000.0
Goodwill And Other Intangible Assets,19929000.0,,,,14621000.0
Other Intangible Assets,19929000.0,,,,14621000.0
Net PPE,738861000.0,609611000.0,579284000.0,530058000.0,473093000.0
Accumulated Depreciation,-262213000.0,,,,-215016000.0
Gross PPE,1001074000.0,609611000.0,579284000.0,530058000.0,688109000.0
Leases,213978000.0,,,,156423000.0
Construction In Progress,117857000.0,,,,34537000.0
Other Properties,342042000.0,609611000.0,579284000.0,530058000.0,263761000.0
Machinery Furniture Equipment,327197000.0,,,,233388000.0
Properties,0.0,,,,0.0
Current Assets,5261004000.0,5120286000.0,5053715000.0,4856335000.0,5336458000.0
Other Current Assets,187753000.0,196501000.0,111546000.0,64036000.0,84626000.0
Receivables,3770194000.0,3478338000.0,3254908000.0,3051928000.0,3330343000.0
Accounts Receivable,3770194000.0,3478338000.0,3254908000.0,3051928000.0,3330343000.0
Allowance For Doubtful Accounts Receivable,-12199000.0,-12210000.0,-12338000.0,-11679000.0,-11244000.0
Gross Accounts Receivable,3782393000.0,3490548000.0,3267246000.0,3063607000.0,3341587000.0
Cash Cash Equivalents And Short Term Investments,1303057000.0,1445447000.0,1687261000.0,1740371000.0,1921489000.0
Other Short Term Investments,644882000.0,792313000.0,790874000.0,621826000.0,552026000.0
Cash And Cash Equivalents,658175000.0,653134000.0,896387000.0,1118545000.0,1369463000.0
Cash Equivalents,417259000.0,410301000.0,644764000.0,892145000.0,1151015000.0
Cash Financial,240916000.0,242833000.0,251623000.0,226400000.0,218448000.0
